Index,Feature_Name,Category,Ret5_Rank,Ret60_Rank,Comprehensive_Score
134,trix_60M,Level 2 (技术统计算子),5,1,6
133,ema_ret_60M,Level 2 (技术统计算子),1,18,19
180,Dynamic_Kyle_Lambda_60M,Level 3 (高阶微观数学),14,5,19
149,adx_60M,Level 2 (技术统计算子),10,13,23
181,Dynamic_Kyle_Variance_60M,Level 3 (高阶微观数学),20,4,24
150,adxr_60M,Level 2 (技术统计算子),29,3,32
24,OBV,Level 2 (技术统计算子),28,8,36
142,rsi_60M,Level 2 (技术统计算子),19,19,38
175,VR_5M_Long_Memory,Level 3 (高阶微观数学),25,14,39
162,amihud_60M,Level 2 (技术统计算子),40,7,47
79,adx_15M,Level 2 (技术统计算子),41,21,62
139,mom_60M,Level 2 (技术统计算子),35,31,66
169,BPV_60M,Level 3 (高阶微观数学),27,41,68
82,natr_15M,Level 2 (技术统计算子),24,47,71
37,rsi_5M,Level 2 (技术统计算子),46,29,75
170,Jump_Ratio_60M,Level 3 (高阶微观数学),33,42,75
111,macd_30M,Level 2 (技术统计算子),44,37,81
189,Dynamic_Kyle_Lambda_15M,Level 3 (高阶微观数学),38,43,81
48,bb_width_5M,Level 2 (技术统计算子),2,-,102
152,natr_60M,Level 2 (技术统计算子),-,2,102
182,Shannon_Entropy_60M,Level 3 (高阶微观数学),3,-,103
136,vpats_60M,Level 2 (技术统计算子),4,-,104
153,bb_width_60M,Level 2 (技术统计算子),6,-,106
167,OU_Sigma_60M,Level 3 (高阶微观数学),-,6,106
13,GK_Volatility_1M,Level 1 (微观形态与量价),7,-,107
147,ppo_60M,Level 2 (技术统计算子),8,-,108
23,Tanh_Slope_Sum,Level 2 (技术统计算子),9,-,109
100,ichimoku_prem_30M,Level 2 (技术统计算子),-,9,109
166,OU_Kappa_60M,Level 3 (高阶微观数学),-,10,110
18,Order_Imbalance_Px,Level 1 (微观形态与量价),11,-,111
115,adxr_30M,Level 2 (技术统计算子),-,11,111
155,vwap_prem_60M,Level 2 (技术统计算子),-,12,112
185,RV_15M,Level 3 (高阶微观数学),12,-,112
105,roc_30M,Level 2 (技术统计算子),13,-,113
11,Log_HL_Range,Level 1 (微观形态与量价),15,-,115
164,skew_60M,Level 2 (技术统计算子),-,15,115
127,amihud_30M,Level 2 (技术统计算子),-,16,116
148,vol_adj_mom_60M,Level 2 (技术统计算子),16,-,116
85,vwap_prem_15M,Level 2 (技术统计算子),17,-,117
168,RV_60M,Level 3 (高阶微观数学),-,17,117
81,aroon_osc_15M,Level 2 (技术统计算子),18,-,118
171,Roll_CS_Spread_60M,Level 3 (高阶微观数学),-,20,120
4,Intrabar_VWAP_Dev,Level 1 (微观形态与量价),21,-,121
137,aes_60M,Level 2 (技术统计算子),22,-,122
151,aroon_osc_60M,Level 2 (技术统计算子),-,22,122
62,kama_norm_15M,Level 2 (技术统计算子),23,-,123
179,Pastor_Stambaugh_Lambda_60M,Level 3 (高阶微观数学),-,23,123
163,kurt_60M,Level 2 (技术统计算子),-,24,124
146,macd_60M,Level 2 (技术统计算子),-,25,125
141,cci_60M,Level 2 (技术统计算子),26,-,126
157,cmf_60M,Level 2 (技术统计算子),-,26,126
183,OU_Kappa_15M,Level 3 (高阶微观数学),-,27,127
114,adx_30M,Level 2 (技术统计算子),-,28,128
47,natr_5M,Level 2 (技术统计算子),-,30,130
112,ppo_30M,Level 2 (技术统计算子),30,-,130
102,aes_30M,Level 2 (技术统计算子),31,-,131
83,bb_width_15M,Level 2 (技术统计算子),32,-,132
184,OU_Sigma_15M,Level 3 (高阶微观数学),-,32,132
99,trix_30M,Level 2 (技术统计算子),-,33,133
97,kama_norm_30M,Level 2 (技术统计算子),34,-,134
92,amihud_15M,Level 2 (技术统计算子),-,34,134
172,Alpha_CS_Spread_60M,Level 3 (高阶微观数学),-,35,135
35,roc_5M,Level 2 (技术统计算子),36,-,136
178,Pastor_Stambaugh_Gamma_60M,Level 3 (高阶微观数学),-,36,136
103,vgta_30M,Level 2 (技术统计算子),37,-,137
159,bop_ema_60M,Level 2 (技术统计算子),-,38,138
1,Upper_Shadow_Frac,Level 1 (微观形态与量价),39,-,139
67,aes_15M,Level 2 (技术统计算子),-,39,139
56,mcz_z_5M,Level 2 (技术统计算子),-,40,140
107,rsi_30M,Level 2 (技术统计算子),42,-,142
78,vol_adj_mom_15M,Level 2 (技术统计算子),43,-,143
57,amihud_5M,Level 2 (技术统计算子),-,44,144
117,natr_30M,Level 2 (技术统计算子),-,45,145
158,vol_surge_60M,Level 2 (技术统计算子),45,-,145
145,cmo_60M,Level 2 (技术统计算子),-,46,146
5,LogRet_1,Level 1 (微观形态与量价),47,-,147
28,ema_ret_5M,Level 2 (技术统计算子),48,-,148
80,adxr_15M,Level 2 (技术统计算子),-,48,148
70,roc_15M,Level 2 (技术统计算子),49,-,149
174,Buy_Pressure_60M,Level 3 (高阶微观数学),-,49,149
52,cmf_5M,Level 2 (技术统计算子),-,50,150
140,roc_60M,Level 2 (技术统计算子),50,-,150
